Frequency,Colors,Size,Weight,Genus,Family,Description
Unknown,Unknown,Small to Large,Unknown,Unknown,Unknown,Unknown
14.74,Black,21,620.0,Corvis,Corvidae,Color
19.88,"Yellow, Black, White",5.5,18.0,Spinus,Carduelinae,"Face, neck, and underside are yellow, black wings with white bars"
Unknown,"Red, Blue, Gray, Black, White",12,Unknown,Unknown,Falco sparverius,Rusty brown back and tail. A white breast with dark spots. Double black vertical lines on white face. Blue gray wings. Distinctive wide black banc with a white edge on tip of rusty tail.
40.81,"Brown, Orange, Black",16,95.0,Turdus,Turdidae,Mostly brown on the back with an orange-colored breast
Unknown,"White, Brown, Black, Yellow",37,Unknown,Unknown,Haliaeetus leuciceohalus,"Pure white head ad tail contrast with dark brown-to-black body and wings. A large, curved yellow bill and yellow feet."
32.73,"Black, White, Blue, Green",24,215.0,Corvidae,Pica,"Mostly black and white plumage, and has blue and green iridescent feathers"
22.05,"Black, White, Red, Brown",16,15.0,Paridae,Poecile,"Black cap, white on face, white/reddish-brown flanks"
Unknown,Unknown,Medium to Large,Unknown,Unknown,Unknown,Unknown
15.66,"Brown, Black, Gray, Blue",21,620.0,Cyrtonyx,Odontophoridae,Unknown
Unknown,Black,27,Unknown,Unknown,Corvus corax,"Large all-black bird with a large black bull, a shaggy beard of feathers on the chin and throat, and a large wedge shaped tail, seen in flight."
Unknown,"White, Blue, Gray, Brown",Unknown,Unknown,Unknown,Unknown,Unknown
23.27,"Gray, Brown, White",6.9,30.0,Passeriformes,Junco,"Gray head, neck, breast, gray/brown backs and wings, white underside"
18.6,"Pink, Gray, Black, White",13,150.0,Streptopelia,Columbidae,Pinkish-gray with ablack half-collar bar with white on its neck
28.93,Black,9,100.0,Picadae,Colaptes,Black with glossy iridescence plumage
Unknown,Unknown,Small to Large,Unknown,Unknown,Unknown,Unknown
Unknown,"Rust, Brown, Gray",Unknown,Unknown,Unknown,Unknown,Unknown
Unknown,"Gold, Brown, Yellow",40,Unknown,Unknown,Aquila chrysaetos,Uniform dark brown with golden head and nape of neck. Yellow around the base of bill and yellow feet.
Unknown,"White, Black, Gray",Large,Unknown,Unknown,Unknown,Unknown
27.29,"Red, Brown",6,27.0,Fringillidae,Haemorhous,"Reddish face and upper breast, brown streaks on back, belly, and tail."
18.83,"Gray, Red, Brown",7.1,39.0,Passer,Passeridea,"Gray head marking, a reddish-brown back, and gray underparts"
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
25.83,"Gray, Brown, Pink, Black",12,170.0,Columbidae,Zenaida,Light gray-brown and lighter and pinkish below. The wings have black spots.
28.44,"Brown, Black",14,165.0,Picadae,Colaptes,"Light brown with black bars across back, chest, wings, belly"
